OPP TEAM,ODK,PLAY #,QTR,SERIES,HASH,DN,DIST,YARD LN,FZ,SIT,PERSONNEL,MOTION,OFF FORM,FORM LT/RT,FIB,BACKFIELD,FORM CODE,PLAY TYPE,PLAY TYPE 2,OFF PLAY,RUN TAG,PLAY DIR,SCR TAG,GAP,ROUTE CONCEPT,ROUTE 2,RESULT,BC,PASS ZONE,COVERAGE,DEF FRONT,PROTECTION (D),GN/LS,SERIES END,PENALTY
Lycoming,D,45,3,9,R,2,14,-24,UPFIELD,,11,,TOM,L,,STR,41,Pass,,5 STEP,,,,,STIX,GO,Interception,X,,4,OVER,,0,INT,
Lycoming,D,46,3,10,L,0,10,-25,UPFIELD,,21,,SLOT UND,L,,QUEEN,31,Run,,OZ,,R,,B,,,,R,,4,OVER,,18,,
Lycoming,D,47,3,10,R,1,10,-43,UPFIELD,,21,,SLOT UND,R,,QUEEN,31,Run,,SPRINT DRAW,,L,,A,,,,R,,4,OVER,,0,,
Lycoming,D,48,3,10,M,2,10,-43,UPFIELD,,21,,PRO CUT UND,R,,QUEEN,22,Pass,,SOP,,L,,,STIX UP,,Interception,X,,4,OVER,,0,INT,
Lycoming,D,49,3,11,M,0,10,-25,UPFIELD,,20,,FOX UND,R,,KING,31,Run,,ISO,,R,,B,,,,R,,4,OVER,,6,,
Lycoming,D,50,3,11,R,2,4,-31,UPFIELD,,20,,FOX,L,,SPLIT,21,Run,,POWER SHOVEL,,L,,B,,,Complete,R,,4,OVER,,1,,
Lycoming,D,51,3,11,M,3,3,-32,UPFIELD,,20,,FOX UND,R,,KING,31,Run,,ISO,,R,,C,,,,R,,SOLO,OVER,,-2,PUNT,
MISERICORDIA,D,1,1,1,L,0,10,-29,UPFIELD,,21,YOP,PRO OFF UND,R,,KING,31,Pass,,SOP,,R,,,CURL,,Complete,Z,,4,,,15,,
MISERICORDIA,D,2,1,1,R,1,10,-44,UPFIELD,,21,,PRO OFF UND,L,,KING,31,Run,,POWER,ARC,L,,B,,,,R,,4,,,11,,
MISERICORDIA,D,3,1,1,L,1,10,45,UPFIELD,,21,,SLOT UND,L,,QUEEN,31,Pass,,SOP,,R,,,CURL,,Complete,X,,4 INVERT,,,10,,
MISERICORDIA,D,4,1,1,R,1,10,35,GREEN ZONE,,21,FLOP,SLOT UND,R,,QUEEN,31,Run,,SPRINT DRAW,,L,,A,,,,R,,4 INVERT,,,3,,
