OPP TEAM,ODK,PLAY #,QTR,SERIES,HASH,T & 10,DN,DIST,YARD LN,GN/LS,SERIES END,FZ,SIT,PERSONNEL,MOTION,OFF FORM,FORM LT/RT,FIB,BACKFIELD,FORM CODE,PLAY TYPE,PLAY TYPE 2,OFF PLAY,RUN TAG,PLAY DIR,SCR TAG,ROUTE CONCEPT,ROUTE 2,RESULT,GAP,BC,PASS ZONE,COVERAGE,PROTECTION (D),DEF FRONT,STUNT,BLITZ,POST SACK,LAUNCH PT,LAUNCH TIME,ESCAPE PTS,2&10,PEN +/-,PENALTY
MISERICORDIA,D,6,1,1,L,,3,4,20,0,,RED ZONE,,10,T OUT,TRIPS,RT,,STRONG,31,Pass,,SOP,,R,,CHAIR,,Incomplete,,J,9,0,50 MAN,CAT,,,,8LT,254,,,,
MISERICORDIA,D,7,1,1,L,,4,4,19,-11,,RED ZONE,,11,,WOLF OFF,LT,,STRONG,23,Pass,,5 STEP,,R,,VERTS,,Scramble,,Q,,1,50 MAN,CAT,,,,,,ROOP,,,O-Holding
MISERICORDIA,D,8,1,1,M,,4,15,24,0,DOWNS,RED ZONE,,1,,EMPTY,RT,,EMPTY,32,Pass,,3 STEP,,L,,STICK,VERT,Incomplete,,X,7,0,50 MAN,INDIAN,,,,7OC,172,,,,
MISERICORDIA,D,14,1,3,M,,1,10,-23,16,,UPFIELD,,10,,TRIPS,LT,,WK,31,Run,,PUNCH,,L,,,,Rush,A,T,,,,CAT,,,,,,,,,
MISERICORDIA,D,16,1,3,R,,1,10,-40,0,,MIDFIELD,,10,,EMPTY,LT,,EMPTY,32,Pass,,5 STEP,,L,,STICK,,Incomplete,,,2,3,60TB,,,,,6OC,112,,,,
MISERICORDIA,D,17,1,3,R,,2,10,-40,26,,MIDFIELD,,11,,FOX,LT,,TRUCK,21,Pass,RPO,IZ,,R,,BUBBLE/SLANT,,Complete,,Z,5,0,,,,,,5LG,281,,,,
MISERICORDIA,D,18,1,3,R,,1,10,33,7,,GREEN ZONE,,11,,TOM OFF,LT,,WK,31,Run,,Q COUNTER,,R,,,,Rush,C,Q,,,,,,,,,,,,,
MISERICORDIA,D,20,1,3,R,,2,3,27,-5,,GREEN ZONE,,1,,EMPTY,LT,,EMPTY,32,Run,,Q POWER,,L,,,,Rush,C,Q,,,,,,,,,,,,,
MISERICORDIA,D,21,1,3,R,,1,10,24,-5,,RED ZONE,,11,,TOM,LT,,STRONG,31,Run,,PUNCH,,L,,,,Rush,B,T,,,,,,,,,,,,,
MISERICORDIA,D,22,1,3,L,,2,15,29,0,,GREEN ZONE,,11,,WOLF OFF,LT,,STRONG,22,Pass,RPO,OZ G,,R,,VERTS,,Incomplete,,Y,7,3,,,,,,6RG,163,,,,
MISERICORDIA,D,23,1,3,L,,3,15,29,0,,GREEN ZONE,,2,,EMPTY,RT,,EMPTY,32,Pass,,5 STEP,,R,,VERTS,OUT,Incomplete,,Y,6,2,60AF,,,,,4RG,378,,,,
MISERICORDIA,D,24,1,3,L,,4,15,28,-5,,GREEN ZONE,,11,,WOLF,LT,,WK,23,Pass,,5 STEP,,R,,SMASH RETURN,,,,,,,60AF,,,,,,,,,,FALSE START
MISERICORDIA,D,25,1,4,L,,4,20,29,0,DOWNS,GREEN ZONE,,11,,WOLF,LT,,WK,23,Pass,,5 STEP,,R,,SMASH RETURN,,Scramble,,Q,,3,60AF,,,,,,,ROOP,,,
MISERICORDIA,D,30,1,6,R,,1,10,-27,13,,UPFIELD,,12,,TEX OFF,RT,,STRONG,31,Run,,IZ,BASE,L,,,,Rush,C,T,,,,,,,,,,,,,
MISERICORDIA,D,31,1,6,R,,1,10,-41,5,,MIDFIELD,,11,,WOLF OFF,LT,,STRONG,23,Run,,OZ G,,L,,,,Rush,D,T,,,,,,,,,,,,,
MISERICORDIA,D,32,1,6,L,,2,5,-46,-4,,MIDFIELD,,11,,WOLF OFF,LT,,STRONG,23,Run,,OZ G,,R,,,,Rush,D,T,,,,,,,,,,,,,
MISERICORDIA,D,33,1,6,R,,3,9,-42,0,PUNT,MIDFIELD,,11,J ACROSS,TOM,LT,,WK,31,Pass,,5 STEP,,L,,VERTS RETURN,,Incomplete,,Z,7,1,60AF,,,,,8OC,212,,,,
MISERICORDIA,D,39,1,8,R,,1,10,50,8,,MIDFIELD,,11,,TOM,LT,,STRONG,31,Run,,IZ,,R,,,,Rush,C,T,,,,,,,,,,,,,
