OPP TEAM,ODK,PLAY #,QTR,SERIES,HASH,T & 10,DN,DIST,YARD LN,RESULT,GN/LS,FZ,SIT,PERSONNEL,MOTION,OFF FORM,FORM LT/RT,FIB,BACKFIELD,FORM CODE,PLAY TYPE,PLAY TYPE 2,OFF PLAY,RUN TAG,PLAY DIR,SCR TAG,ROUTE CONCEPT,ROUTE 2,BC,GAP,PASS ZONE,COVERAGE,PROTECTION (D),DEF FRONT,STUNT,BLITZ,POST SACK,SERIES END,LAUNCH PT,LAUNCH TIME,ESCAPE PTS,2&10,PEN +/-,PENALTY
Albright College,D,16,1,2,R,,2,3,-46,Incomplete,0,MIDFIELD,,12,,ACE,LT,,STRONG,22,Pass,RPO,IZ,,R,,SPEED OUT,,,,3,1,,,,,,,50C,175,,,,
Albright College,D,17,1,2,R,,3,3,-46,Complete,11,MIDFIELD,,10,,TRIPS,LT,,STRONG,31,Pass,RPO,IZ,,R,,CHAIR,,Y,,1,3,,,,,,,50C,106,,,,
Albright College,D,18,1,2,L,,1,10,43,TD,43,MIDFIELD,,12,,SLOT,LT,,GUN SPLIT KING,21,Run,,IZ,BASE,L,,,,T,C,,,,,,,,,,,,,,
Albright College,D,30,1,3,R,,1,10,-49,Scramble,3,MIDFIELD,,12,HOHIN,SLOT,RT,,GUN SPLIT KING,21,Pass,,PAP,IZ,L,,CRACK CORNER,,Q,,,3,,,,,,,,,LOOP,,,
Albright College,D,31,1,3,L,,2,7,48,Rush,6,MIDFIELD,,10,,TRIPS,RT,,STRONG,31,Run,,IZ,,L,,,,T,B,,,,,,,,,,,,,,
Albright College,D,32,1,3,M,,3,1,42,Complete,3,MIDFIELD,,11,,WOLF OFF,LT,,WK,22,Pass,RPO,POWER,,L,,OUT VERT,,J,,3,3,,,,,,,6RG,203,,,,
Albright College,D,33,1,3,R,,1,10,39,Fumble,-8,GREEN ZONE,,10,,TRIPS,LT,,WK,31,Pass,,5 STEP,,R,,MESH,,,,,1,,,,,,,,,,,,
Albright College,D,34,1,3,R,,2,18,47,Complete,6,MIDFIELD,,11,,TOM OFF,LT,,STRONG,31,Pass,RPO,ISO,,L,,OUT VERT,,X,,3,1,,,,,S,,5OC,187,,,,
Albright College,D,35,1,3,R,,3,10,41,Rush,10,MIDFIELD,,11,,TOM OFF,LT,,STRONG,31,Run,,Q DRAW,,L,,,,Q,B,,,,,,,,,,,,,,
Albright College,D,36,1,3,R,,4,1,31,Rush,3,GREEN ZONE,,12,,SLOT,RT,,GUN SPLIT KING,21,Run,,IZ,BASE,R,,,,T,B,,,,,,,,,,,,,,
Albright College,D,37,1,3,R,,1,10,28,Rush,8,GREEN ZONE,,12,,SLOT,LT,,GUN SPLIT KING,21,Run,RPO,IZ,BASE,R,,,,T,A,,,,,,,,,,,,,,
Albright College,D,38,1,3,R,,2,2,20,Complete,11,RED ZONE,,12,,SLOT,LT,,GUN SPLIT KING,21,Pass,RPO,IZ,BASE,R,,BUBBLE SLANT,,Z,,5,3,,,,,,,,200,,,,
Albright College,D,39,1,3,M,,1,9,9,Rush,7,RED ZONE,,11,,WOLF OFF,RT,,WK,22,Run,,COUNTER,,R,,,,T,B,,,,,,,,,,,,,,
Albright College,D,40,2,3,R,,2,2,2,Rush,-1,GOALLINE,,11,,TOM OFF,LT,,STRONG,31,Run,,Q DRAW,,L,,,,Q,C,,,,,,,,,,,,,,
Albright College,D,41,2,3,R,,3,3,3,Rush,2,GOALLINE,,12,,ACE,LT,,STRONG,22,Run,,IZ,,R,,,,T,A,,,,,,,,,,,,,,
Albright College,D,42,2,3,R,,4,1,1,Rush,1,GOALLINE,,14,,GOALLINE,,,DOT,,Run,,Q SNEAK,,L,,,,Q,A,,,,,,,,,,,,,,
Albright College,D,49,2,3,R,,1,10,-40,Complete,15,MIDFIELD,,11,,WOLF OFF,RT,,WK,22,Pass,RPO,IZ,BASE,R,,BUBBLE SLANT,,Z,,5,1,,,,,,,5OC,206,,,,
Albright College,D,50,2,4,M,,1,10,45,Complete,0,MIDFIELD,,11,,WOLF OFF,RT,,WK,22,Pass,RPO,IZ,BASE,R,,BUBBLE SLANT,,X,,3,3,,,,,,,6OC,157,,,,
Albright College,D,51,2,4,R,,2,10,45,Incomplete,0,MIDFIELD,,10,,TRIPS,LT,,STRONG,31,Pass,,PAP,IZ,R,,VERTS,OUT,,,9,1,50AB,,,,,,7OC,182,,,,
Albright College,D,52,2,4,R,,3,10,45,Incomplete,0,MIDFIELD,,10,,QUADS,LT,,EMPTY,41,Pass,,5 STEP,,L,,VERTS,DRIVE,,,6,4,50B,,,,,,6ROOP,606,,,,
Albright College,D,63,2,5,R,,1,10,-32,Rush,-3,UPFIELD,,10,S JET,FOX,LT,,GUN SPLIT,21,Run,,POWER,READ,L,,,,S,E-Alley,,,,,,,,,,,,,,
Albright College,D,64,2,5,L,,1,13,-29,Complete,12,UPFIELD,,20,,FOX,RT,,GUN SPLIT,21,Pass,,NAKED BOOT,,R,,FLOOD,,T,,3,3,NAKED,,,,,,7ROOP,234,,,,
Albright College,D,65,2,5,R,,2,1,-41,Rush,7,MIDFIELD,,11,,SLOT,RT,,GUN SPLIT KING,21,Run,RPO,IZ,BASE,,,,,T,A,,,,,,,,,,,,,,
Albright College,D,66,2,5,R,,1,10,-48,Rush,11,MIDFIELD,,11,,SLOT,RT,,GUN SPLIT KING,21,Run,,IZ,BASE,,,,,T,A,,,,,,,,,,,,,,
Albright College,D,67,2,5,R,,1,10,41,Incomplete,20,MIDFIELD,,12,,TEX,RT,,WK,31,Pass,RPO,IZ,,R,,BUBBLE SLANT,,,,7,1,,,,,,,5OC,200,,,,
Albright College,D,68,2,5,R,,1,10,21,Interception,0,RED ZONE,,12,,TEX,RT,,WK,31,Pass,,5 STEP,,L,,VERTS,OUT,,,8,3,60AB,,,,,,7LG,265,,,,
Albright College,D,80,3,6,R,,1,10,-26,Rush,0,UPFIELD,,11,,SLOT,RT,,GUN SPLIT KING,21,Run,,IZ,BASE,R,,,,T,A,,,,,,,,,,,,,,
Albright College,D,81,3,6,R,,2,10,-26,Rush,17,UPFIELD,,12,,SLOT,RT,,TRUCK,21,Run,,POWER,,R,,,,T,C,,,,,,,,,,,,,,
Albright College,D,82,3,6,R,,1,10,-43,Rush,5,MIDFIELD,,12,,TEX,RT,,WK,31,Run,,IZ,,R,,,,T,C,,,,,,,,,,,,,,
Albright College,D,83,3,6,R,,2,4,-48,Rush,9,MIDFIELD,,11,,TOM OFF,LT,,WK,31,Run,,POWER,READ,L,,,,T,E-Alley,,,,,,,,,,,,,,
Albright College,D,84,3,6,L,,1,10,43,Rush,1,MIDFIELD,,11,,TOM OFF,RT,,WK,31,Run,,POWER,READ,R,,,,,,,,,,,,,,,,,,,
Albright College,D,85,3,6,L,,2,9,42,Interception,0,MIDFIELD,,11,,TOM OFF,RT,,STRONG,31,Pass,RPO,ISO,,R,,SPEED OUT,VERT,,,1,3,,,,,,,5OC,175,,,,
Albright College,D,95,3,7,L,,1,10,-29,Rush,6,UPFIELD,,20,,FOX,RT,,GUN SPLIT,21,Run,RPO,IZ,BASE,L,,,,,,,,,,,,,,,,,,,
Albright College,D,96,3,7,L,,2,4,-35,Rush,46,UPFIELD,,20,,FOX,RT,,GUN SPLIT,21,Run,RPO,IZ,BASE,L,,,,,,,,,,,,,,,,,,,
Albright College,D,97,3,7,L,,1,10,19,Rush,3,RED ZONE,,20,,FOX,RT,,GUN SPLIT,21,Run,RPO,IZ,BASE,L,,,,,,,,,,,,,,,,,,,
Albright College,D,98,3,7,L,,2,7,16,Rush,5,RED ZONE,,11,,WOLF OFF,LT,,WK,22,Run,,IZ,BASE,L,,,,,,,,,,,,,,,,,,,
Albright College,D,99,3,7,M,,3,2,11,Rush,10,RED ZONE,,12,,SLOT,RT,,GUN SPLIT KING,21,Run,,IZ,BASE,R,,,,,,,,,,,,,,,,,,,
Albright College,D,100,3,7,L,,1,1,1,Rush,-15,GOALLINE,,12,,SLOT,LT,,GUN SPLIT KING,21,Run,,IZ,BASE,L,,,,,,,,,,,,,,,,,,,
Albright College,D,101,3,7,L,,1,15,16,Rush,2,RED ZONE,,20,,FOX,RT,,GUN SPLIT,21,Run,,IZ,BASE,L,,,,,,,,,,,,,,,,,,,
Albright College,D,102,3,7,L,,2,14,14,Rush,11,RED ZONE,,20,,FOX,RT,,GUN SPLIT,21,Run,,POWER,READ,R,,,,,,,,,,,,,,,,,,,
Albright College,D,103,3,7,R,,3,2,3,Rush,2,GOALLINE,,11,,WOLF OFF,RT,,STRONG,22,Run,,Q COUNTER,,R,,,,,,,,,,,,,,,,,,,
Albright College,D,104,3,7,R,,4,1,1,Rush,1,GOALLINE,,12,,SLOT,RT,,GUN SPLIT KING,21,Run,,IZ,BASE,R,,,,,,,,,,,,,,,,,,,
Albright College,D,105,3,7,M,,0,3,3,TD,3,GOALLINE,,0,T OUT,EMPTY,RT,,EMPTY,32,Pass,,5 STEP,,R,,STICK,PICK SLANT,X,,3,2,50F,,,,,,6OC,175,,,,
