OPP TEAM,ODK,PLAY #,QTR,SERIES,HASH,DN,DIST,YARD LN,FZ,SIT,PERSONNEL,MOTION,OFF FORM,FORM LT/RT,FIB,BACKFIELD,FORM CODE,PLAY TYPE,PLAY TYPE 2,OFF PLAY,RUN TAG,PLAY DIR,SCR TAG,GAP,ROUTE CONCEPT,ROUTE 2,RESULT,BC,PASS ZONE,COVERAGE,PROTECTION (D),DEF FRONT,STUNT,BLITZ,GN/LS,SERIES END,PENALTY
King's College,D,180,4,14,M,2,10,-20,UPFIELD,2M,20,,DOUBLES CUT,LT,,STRONG,22,Pass,,5 STEP,,,,,INV SMASH,FLO,Complete,Z,7,2 MAN,6A0B,CAT,,,15,,
King's College,D,181,4,14,L,1,10,-35,UPFIELD,2M,20,,DOUBLES,RT,,STRONG,22,Run,,DRAW,,R,,A,,,,T,,2 MAN,,CAT,,,2,,
King's College,D,182,4,14,L,2,8,-37,UPFIELD,2M,20,,TRIPS,RT,,STRONG,41,Pass,,5 STEP,,,,,STICKS,,Sack,Q,,2 MAN,6A0B,CAT,,,-6,,
King's College,D,183,4,14,L,3,14,-31,UPFIELD,2M,20,,TRIPS,RT,,STRONG,41,Pass,,5 STEP,,,,,VERTS WHIP,,Interception,J,8,2 MAN,,CAT,,,0,INT,
Misericordia University,D,3,1,1,L,0,10,-41,UPFIELD,,11,YOP,TOM OFF,RT,,STRONG,41,Run,,OZ,TOSS,R,,D,,,Rush,T,,7,,OVER,DOS,,5,,
Misericordia University,D,4,1,1,R,2,5,-46,UPFIELD,,11,YIN,FOX CUT,LT,,TRUCK,21,Run,RPO,IZ,LOAD,R,,A,HITCHES,,Rush,T,,4,,OVER,,,10,,
Misericordia University,D,5,1,1,R,1,10,44,UPFIELD,,21,YIN,BONE CUT,LT,,TRUCK WEAK,11,Run,RPO,POWER,,L,,C,SLANT,,Rush,T,,HEAT,,FLIP,,SHELL,3,,
Misericordia University,D,6,1,1,R,2,7,41,UPFIELD,,21B,,TOM OFF,LT,,CAT STRONG,41,Run,,IZ,READ,R,,C,,,Rush,Q,,INVERT,,OVER,OCHO,,-1,,
Misericordia University,D,7,1,1,M,3,8,42,UPFIELD,,10,T OUT,EMPTY 32,RT,,EMPTY,32,Pass,,5 STEP,,,,,CROSS,SWITCH,Incomplete,J,9,3 CLOUD,50B,CAT,,,0,PUNT,
Misericordia University,D,17,1,2,M,0,10,-20,UPFIELD,,11,YOP,TOM OFF,LT,,WEAK,32,Pass,,PAP,IZ,L,,,VERTS,,Incomplete,J,8,SINK,7T1BS,FLIP,,,0,,
Misericordia University,D,18,1,2,M,2,10,-20,UPFIELD,,11,YIN,FOX CUT,LT,,WAGON,21,Run,RPO,POWER,,R,,C,HITCHES,,Rush,T,,HEAT,,OVER,DOS,BLAST,5,,
Misericordia University,D,19,1,2,R,3,5,-25,UPFIELD,,21,YIN,BONE CUT,LT,,TRUCK WEAK,11,Run,RPO,POWER,,L,,A,GO,,,T,,7,,DOG,,,8,,
Misericordia University,D,20,1,2,R,1,10,-33,UPFIELD,,21,YOP,PRO OFF CUT,LT,,KING,21,Run,RPO,STRETCH,,L,,E-Alley,,SLANT,,T,,7,,TIGER,,,8,,
Misericordia University,D,21,1,2,L,2,2,-41,UPFIELD,,12,,ACE,LT,,WEAK,22,Run,RPO,IZ,FLIP,R,,B,HITCHES,,,T,,7,,OVER,TIN,,4,,
Misericordia University,D,22,1,2,L,1,10,-45,UPFIELD,,12,,ACE,LT,,WEAK,22,Pass,,PAP,IZ,L,,,BENCH,GLANCE,Complete,X,7,INVERT,8T3FS,OVER,TRES,,30,,
Misericordia University,D,23,1,2,R,1,10,25,RED ZONE,,11,ZIP,WOLF CUT CON,RT,,WEAK,22,Run,SCR,IZ,LOCK,R,Z FLAT,,,,Complete,Z,,7,,OPP,TRES,,2,,
Misericordia University,D,24,1,2,L,2,9,23,RED ZONE,,21,,SLOT,LT,,QUEEN,21,Run,,POWER,,R,,B,,,,T,,7,,DOG,,,5,,
Misericordia University,D,25,1,2,M,3,2,18,RED ZONE,,21,,SLOT,LT,,KING,21,Pass,RPO,POWER,,L,,,HTCHES,,Complete,X,1,7,,OVER,OCHO,,5,,
Misericordia University,D,26,1,2,R,1,10,13,RED ZONE,,12,,ACE WING,RT,,CAT STRONG,23,Run,,Q POWER READ,,L,,C,,,,T,,INVERT,,OVER,OCHO,,4,,
Misericordia University,D,27,1,2,L,2,7,11,RED ZONE,,21,YIN,BONE,RT,,TRUCK QUEEN,11,Run,RPO,POWER,,L,,A,FADE,,,T,,7,,OVER,TRES,,2,,
Misericordia University,D,28,1,2,L,3,5,9,RED ZONE,,21,YOYO,PRO OFF,RT,,KING,21,Run,RPO,STRETCH,,R,,D,,SLANT,,T,,7,,FLIP,,,6,,
Misericordia University,D,29,1,2,R,1,3,3,GOALLINE,,12,HOP,SLOT TO,RT,,WEAK,41,Run,,OZ,TOSS,L,,E-Alley,,,,T,,MATCH,,OVER,,LIGHTNING,3,TD,
Misericordia University,D,40,1,3,R,0,10,-27,UPFIELD,,11,YOP,WOLF OFF CUT,RT,,WEAK,22,Pass,,PAP,IZ,R,,,VERTS,COMEBACK,Incomplete,Z,6,INVERT,,OVER,DRIVE,,0,,
Misericordia University,D,41,1,3,R,2,10,-27,UPFIELD,,11,YIN,FOX,LT,,QUEEN,21,Run,,POWER,ALT,R,,B,,,,T,,HEAT,,FLIP,,,6,,
Misericordia University,D,44,2,3,R,3,4,-33,UPFIELD,,21,,BONE,LT,,TRUCK WEAK,11,Run,RPO,POWER,,L,,B,HITCHES,,,T,,7,,FLIP,OCHO,,18,,
Misericordia University,D,45,2,3,R,1,10,49,UPFIELD,,21,,PRO OFF,LT,,TRUCK,21,Pass,,5 STEP,,,,,SMASH,GLANCE,Scramble,Q,,2 INVERT,,OVER,,,1,,
Misericordia University,D,46,2,3,R,2,9,48,UPFIELD,,21,,SLOT,RT,,KING,21,Run,,IZ,LOCK,R,F FLAT,A,,,,T,,2 INVERT,,OVER,DRIVE,,1,,
Misericordia University,D,47,2,3,R,3,8,47,UPFIELD,,10,,DOUBLES,LT,,STRONG,22,Run,RPO,IZ,LOCK,R,,B,VERTS,,,T,,2 MAN,,BEAR,,,37,,
Misericordia University,D,48,2,3,L,1,10,10,RED ZONE,,12,,ACE WING,LT,,CAT WEAK,22,Run,,IZ,,L,,A,,,,T,,7,,OVER,,,10,TD,
Misericordia University,D,60,2,4,R,1,15,-26,UPFIELD,,12,,SLOT,RT,,KING,21,Run,,IZ,BASE,R,ALT,A,,,,T,,HEAT,,OVER,,,-1,,
Misericordia University,D,61,2,4,R,2,16,-25,UPFIELD,,12,HOP,SLOT TO,RT,,STRONG,32,Pass,,PAP,IZ,L,,,FLO,,Complete,X,7,2 INVERT,8T2BS,OVER,,,38,,
Misericordia University,D,62,2,4,L,1,10,37,GREEN ZONE,,12,,ACE,LT,,WEAK,22,Pass,,PAP,IZ,L,,,BENCH,GLANCE,Incomplete,Z,7,HEAT,,FLIP,,BLAST,0,,
Misericordia University,D,63,2,4,L,2,10,37,GREEN ZONE,,12,,ACE,LT,,WEAK,22,Run,RPO,STRETCH,,L,,C,SLANT,,,T,,INVERT,,OVER,,,2,,
Misericordia University,D,64,2,4,L,3,8,35,GREEN ZONE,,10,,DOUBLES CUT,RT,,STRONG,22,Run,RPO,IZ,LOCK,L,,B,HAMMER,,,T,,INVERT,,OVER,TIN,,10,,
Misericordia University,D,65,2,4,L,1,10,25,RED ZONE,,10,T OUT,EMPTY 23,RT,YES,EMPTY,23,Pass,,5 STEP,,,,,INV SMASH,STAR,Complete,X,6,HEAT,53F,FLIP,,SHELL,11,,
Misericordia University,D,66,2,4,L,1,10,14,RED ZONE,,21,,BONE,RT,,TRUCK WEAK,11,Run,,POWER,,R,,C,,,,T,,7,,DOG,,,6,,
Misericordia University,D,67,2,4,M,2,4,8,RED ZONE,,21,,PRO OFF,RT,,QUEEN,21,Run,RPO,POWER,,L,,D,SLANT,,,T,,7,,OVER,,,8,TD,
Misericordia University,D,83,2,5,R,0,10,-10,BACKED UP,,10,,DOUBLES,LT,,STRONG,22,Run,RPO,IZ,LOCK,R,,C,HAMMER,,,T,,7,,DOG,,,-2,,
Misericordia University,D,84,2,5,L,2,12,-8,BACKED UP,,10,T OUT,EMPTY 23,LT,YES,EMPTY,23,Pass,,5 STEP,,,,,VERT SWITCH,STAR SLIDE,Complete,J,2,COVER 2,,CAT,,,6,,
Misericordia University,D,86,2,5,L,3,6,-14,BACKED UP,,10,,DOUBLES,RT,,WEAK,23,Pass,RPO,PUNCH,,L,,,HAMMER,,Complete,J,5,COVER 2,,DOG,,,19,,
Misericordia University,D,88,2,5,L,1,10,-33,UPFIELD,,10,,DOUBLES,RT,,WEAK,23,Pass,,5 STEP,,,,,SMASH,INV SMASH,Incomplete,X,9,COVER 2,60 MAN,DOG,,,0,,
